"cultivo","cve_ent","entidad","cve_mun","municipio","productores","escenario_marginacion","escenario_precio","latitud","longitud","im","gm","imn"
"Frijol","21","Puebla","001","Acajete",375,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","04","Campeche","001","Calkiní",651,0.0,0.0,20.3712,-90.0507,55.3813,"Bajo",0.867194
"Frijol","17","Morelos","001","Amacuzac",3,0.0,0.0,18.6,-99.3695,55.5939,"Bajo",0.870522
"Frijol","04","Campeche","001","Calkiní",136,0.0,0.0,20.3712,-90.0507,55.3813,"Bajo",0.867194
"Frijol","31","Yucatán","001","Abalá",79,0.0,0.0,20.6476,-89.6809,52.0644,"Alto",0.815256
"Frijol","13","Hidalgo","001","Acatlán",130,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","04","Campeche","001","Calkiní",279,0.0,0.0,20.3712,-90.0507,55.3813,"Bajo",0.867194
"Frijol","04","Campeche","001","Calkiní",21,0.0,0.0,20.3712,-90.0507,55.3813,"Bajo",0.867194
"Frijol","20","Oaxaca","001","Abejones",31,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","21","Puebla","001","Acajete",235,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","20","Oaxaca","001","Abejones",18,67807.8,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","17","Morelos","001","Amacuzac",8,0.0,0.0,18.6,-99.3695,55.5939,"Bajo",0.870522
"Frijol","20","Oaxaca","001","Abejones",309,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","31","Yucatán","001","Abalá",194,0.0,0.0,20.6476,-89.6809,52.0644,"Alto",0.815256
"Frijol","21","Puebla","001","Acajete",680,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","20","Oaxaca","001","Abejones",76,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","21","Puebla","001","Acajete",110,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","20","Oaxaca","001","Abejones",3,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",101,64625.1,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
